"icon-verkehrsstoerung src","linkintern","linkintern href","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Herkulesstraße/Tunnel (Neuehrenfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/herkulesstrassetunnel-neuehrenfeld","von 


 bis ,  von 09:00 bis 15:00 Uhr","18. Januar 2021","22. Januar 2021","Ehrenfeld"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Herkulestunnel (Neuehrenfeld)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/herkulestunnelk4","von 


 bis ,  von 22:00 bis 05:00 Uhr","15. November 2021","21. November 2021","Ehrenfeld"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Heumarkt (Altstadt/Nord)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/heumarkt-altstadtnord-2","am 


,  von 09:00 bis 15:00 Uhr","16. April 2021","","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Heumarkt (Altstadt/Nord)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/heumarkt-altstadtnord-3","von 


 bis ,  von 09:00 bis 15:00 Uhr","21. Juni 2021","25. Juni 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Heumarkt (Altstadt/Süd)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/heumarkt-altstadtsued","von 


 bis ,  von 09:00 bis 15:00 Uhr","21. Juni 2021","23. Juni 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Hirschgraben (Eil)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/hirschgraben-eil-1","von 


 bis ,  von 09:00 bis 15:00 Uhr","22. März 2021","30. April 2021","Porz"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Hirschgraben (Eil)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/hirschgraben-eil-3","von 


 bis","9. November 2021","8. Dezember 2021","Porz"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Hirschgraben (Eil)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/hirschgraben-eil-4","von 


 bis","30. November 2021","8. April 2022","Porz"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/2.gif","Höhenberger Ring (Höhenberg)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/hoehenberger-ring-hoehenberg","von 


 bis","17. Mai 2021","21. Mai 2021","Kalk"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/2.gif","Hohenstaufenring (Altstadt/Süd)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/hohenstaufenring-altstadtsued-1","von 


 bis","27. Juli 2021","12. August 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Hohenstaufenring (Altstadt/Süd)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/hohenstaufenring-altstadtsued","von 


 bis","12. August 2021","14. September 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Hohenstaufenring/Barbarossaplatz (Neustadt/Süd)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/hohenstaufenringbarbarossaplatz-innenstadt","von 


 bis ,  von 07:00 bis 15:00 Uhr","8. November 2021","15. November 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Hohenzollernring","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/hohenzollernring-15","von 


 bis ,  von 09:00 bis 15:00 Uhr","21. Juni 2021","28. August 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Holzmarkt (Altstadt/Süd)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/holzmarkt-altstadtsued-1","von 


 bis ,  von 09:00 bis 15:00 Uhr","24. Februar 2021","26. März 2021","Innenstadt"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Honschaftsstraße (Holweide)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/honschaftsstrasse-holweide","von 


 bis ,  von 09:00 bis 15:00 Uhr","6. April 2021","22. Mai 2021","Mülheim"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/2.gif","Humboldtstraße (Finkenberg)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/humboldtstrasse-finkenberg-1","von 


 bis","20. September 2021","19. November 2021","Porz"
"https://www.stadt-koeln.de/images/layout/icons/verkehrskalender/3.gif","Humboldtstraße (Porz)","https://www.stadt-koeln.de/leben-in-koeln/verkehr/verkehrskalender/humboldtstrasse-porz-2","von 


 bis","22. November 2021","10. Dezember 2021","Porz"
